ITC No	H-M	HM2005	n:c	Univ HM	UHM2005	Hall	Shmueli	Note
46	Ima2	Ima2	46:ba-c	Ibm2	Ibm2	I 2 -2b	ION$P2C000$I2A060	Shmueli symbol added by S.G.
46	Ima2	Ima2	46:bca	Ic2m	Ic2m	I -2c -2c	ION$I2C006$I2A006	Shmueli symbol added by S.G.
46	Ima2	Ima2	46:cab	I2mb	I2mb	I -2b 2	ION$I2C060$P2A000	Shmueli symbol added by S.G.
47	Pmmm	Pmmm	47	Pmmm	Pmmm	-P 2 2	POC$I1A000$P2C000$P2A000	
48	Pnnn	Pnnn	48:1	Pnnn:1	Pnnn:1	P 2 2 -1n	POC$I1A666$P2C000$P2A000	
48	Pnnn	Pnnn	48:2	Pnnn:2	Pnnn:2	-P 2ab 2bc	POC$I1A000$P2C660$P2A066	
49	Pccm	Pccm	49	Pccm	Pccm	-P 2 2c	POC$I1A000$P2C000$P2A006	
49	Pccm	Pccm	49:bca	Pbmb	Pbmb	-P 2b 2b	POC$I1A000$P2C060$P2A060	Shmueli symbol added by S.G.
49	Pccm	Pccm	49:cab	Pmaa	Pmaa	-P 2a 2	POC$I1A000$P2C600$P2A000	Shmueli symbol added by S.G.
50	Pban	Pban	50:1	Pban:1	Pban:1	P 2 2 -1ab	POC$I1A660$P2C000$P2A000	
50	Pban	Pban	50:1bca	Pcna:1	Pcna:1	P 2 2 -1ac	POC$I1A606$P2C000$P2A000	Shmueli symbol added by S.G.
50	Pban	Pban	50:1cab	Pncb:1	Pncb:1	P 2 2 -1bc	POC$I1A066$P2C000$P2A000	Shmueli symbol added by S.G.
50	Pban	Pban	50:2	Pban:2	Pban:2	-P 2ab 2b	POC$I1A000$P2C660$P2A060	
50	Pban	Pban	50:2bca	Pcna:2	Pcna:2	-P 2a 2c	POC$I1A000$P2C600$P2A006	Shmueli symbol added by S.G.
50	Pban	Pban	50:2cab	Pncb:2	Pncb:2	-P 2b 2bc	POC$I1A000$P2C060$P2A066	Shmueli symbol added by S.G.
51	Pmma	Pmma	51	Pmma	Pmma	-P 2a 2a	POC$I1A000$P2C600$P2A600	
51	Pmma	Pmma	51:-cba	Pcmm	Pcmm	-P 2c 2c	POC$I1A000$P2C006$P2A006	Shmueli symbol added by S.G.
51	Pmma	Pmma	51:a-cb	Pmam	Pmam	-P 2 2a	POC$I1A000$P2C000$P2A600	Shmueli symbol added by S.G.
51	Pmma	Pmma	51:ba-c	Pmmb	Pmmb	-P 2b 2	POC$I1A000$P2C060$P2A000	Shmueli symbol added by S.G.
51	Pmma	Pmma	51:bca	Pmcm	Pmcm	-P 2c 2	POC$I1A000$P2C006$P2A000	Shmueli symbol added by S.G.
51	Pmma	Pmma	51:cab	Pbmm	Pbmm	-P 2 2b	POC$I1A000$P2C000$P2A060	Shmueli symbol added by S.G.
52	Pnna	Pnna	52	Pnna	Pnna	-P 2a 2bc	POC$I1A000$P2C600$P2A066	
52	Pnna	Pnna	52:-cba	Pcnn	Pcnn	-P 2ab 2c	POC$I1A000$P2C660$P2A006	Shmueli symbol added by S.G.
52	Pnna	Pnna	52:a-cb	Pnan	Pnan	-P 2n 2bc	POC$I1A000$P2C666$P2A066	Shmueli symbol added by S.G.
52	Pnna	Pnna	52:ba-c	Pnnb	Pnnb	-P 2b 2n	POC$I1A000$P2C060$P2A666	Shmueli symbol added by S.G.
52	Pnna	Pnna	52:bca	Pncn	Pncn	-P 2ab 2n	POC$I1A000$P2C660$P2A666	Shmueli symbol added by S.G.
52	Pnna	Pnna	52:cab	Pbnn	Pbnn	-P 2n 2b	POC$I1A000$P2C666$P2A060	Shmueli symbol added by S.G.
53	Pmna	Pmna	53	Pmna	Pmna	-P 2ac 2	POC$I1A000$P2C606$P2A000	
53	Pmna	Pmna	53:-cba	Pcnm	Pcnm	-P 2 2ac	POC$I1A000$P2C000$P2A606	Shmueli symbol added by S.G.
53	Pmna	Pmna	53:a-cb	Pman	Pman	-P 2ab 2	POC$I1A000$P2C660$P2A000	Shmueli symbol added by S.G.
53	Pmna	Pmna	53:ba-c	Pnmb	Pnmb	-P 2bc 2bc	POC$I1A000$P2C066$P2A066	Shmueli symbol added by S.G.
53	Pmna	Pmna	53:bca	Pncm	Pncm	-P 2 2bc	POC$I1A000$P2C000$P2A066	Shmueli symbol added by S.G.
53	Pmna	Pmna	53:cab	Pbmn	Pbmn	-P 2ab 2ab	POC$I1A000$P2C660$P2A660	Shmueli symbol added by S.G.
54	Pcca	Pcca	54	Pcca	Pcca	-P 2a 2ac	POC$I1A000$P2C600$P2A606	
54	Pcca	Pcca	54:-cba	Pcaa	Pcaa	-P 2ac 2c	POC$I1A000$P2C606$P2A006	Shmueli symbol added by S.G.
54	Pcca	Pcca	54:a-cb	Pbab	Pbab	-P 2b 2ab	POC$I1A000$P2C060$P2A660	Shmueli symbol added by S.G.
54	Pcca	Pcca	54:ba-c	Pccb	Pccb	-P 2b 2c	POC$I1A000$P2C060$P2A006	Shmueli symbol added by S.G.
54	Pcca	Pcca	54:bca	Pbcb	Pbcb	-P 2bc 2b	POC$I1A000$P2C066$P2A060	Shmueli symbol added by S.G.
54	Pcca	Pcca	54:cab	Pbaa	Pbaa	-P 2a 2b	POC$I1A000$P2C600$P2A060	Shmueli symbol added by S.G.
55	Pbam	Pbam	55	Pbam	Pbam	-P 2 2ab	POC$I1A000$P2C000$P2A660	
55	Pbam	Pbam	55:bca	Pcma	Pcma	-P 2ac 2ac	POC$I1A000$P2C606$P2A606	Shmueli symbol added by S.G.
55	Pbam	Pbam	55:cab	Pmcb	Pmcb	-P 2bc 2	POC$I1A000$P2C066$P2A000	Shmueli symbol added by S.G.
56	Pccn	Pccn	56	Pccn	Pccn	-P 2ab 2ac	POC$I1A000$P2C660$P2A606	
56	Pccn	Pccn	56:bca	Pbnb	Pbnb	-P 2bc 2ab	POC$I1A000$P2C066$P2A660	Shmueli symbol added by S.G.
56	Pccn	Pccn	56:cab	Pnaa	Pnaa	-P 2ac 2bc	POC$I1A000$P2C606$P2A066	Shmueli symbol added by S.G.
57	Pbcm	Pbcm	57	Pbcm	Pbcm	-P 2c 2b	POC$I1A000$P2C006$P2A060	
57	Pbcm	Pbcm	57:-cba	Pmab	Pmab	-P 2b 2a	POC$I1A000$P2C060$P2A600	Shmueli symbol added by S.G.
57	Pbcm	Pbcm	57:a-cb	Pcmb	Pcmb	-P 2bc 2c	POC$I1A000$P2C066$P2A006	Shmueli symbol added by S.G.
57	Pbcm	Pbcm	57:ba-c	Pcam	Pcam	-P 2c 2ac	POC$I1A000$P2C006$P2A606	Shmueli symbol added by S.G.
57	Pbcm	Pbcm	57:bca	Pbma	Pbma	-P 2a 2ab	POC$I1A000$P2C600$P2A660	Shmueli symbol added by S.G.
57	Pbcm	Pbcm	57:cab	Pmca	Pmca	-P 2ac 2a	POC$I1A000$P2C606$P2A600	Shmueli symbol added by S.G.
58	Pnnm	Pnnm	58	Pnnm	Pnnm	-P 2 2n	POC$I1A000$P2C000$P2A666	
58	Pnnm	Pnnm	58:bca	Pnmn	Pnmn	-P 2n 2n	POC$I1A000$P2C666$P2A666	Shmueli symbol added by S.G.
58	Pnnm	Pnnm	58:cab	Pmnn	Pmnn	-P 2n 2	POC$I1A000$P2C666$P2A000	Shmueli symbol added by S.G.
59	Pmmn	Pmmn	59:1	Pmmn:1	Pmmn:1	P 2 2ab -1ab	POC$I1A660$P2C000$P2A660	
59	Pmmn	Pmmn	59:1bca	Pmnm:1	Pmnm:1	P 2ac 2ac -1ac	POC$I1A606$P2C606$P2A606	Shmueli symbol added by S.G.
59	Pmmn	Pmmn	59:1cab	Pnmm:1	Pnmm:1	P 2bc 2 -1bc	POC$I1A066$P2C066$P2A000	Shmueli symbol added by S.G.
59	Pmmn	Pmmn	59:2	Pmmn:2	Pmmn:2	-P 2ab 2a	POC$I1A000$P2C660$P2A600	
59	Pmmn	Pmmn	59:2bca	Pmnm:2	Pmnm:2	-P 2c 2a	POC$I1A000$P2C006$P2A600	Shmueli symbol added by S.G.
59	Pmmn	Pmmn	59:2cab	Pnmm:2	Pnmm:2	-P 2c 2bc	POC$I1A000$P2C006$P2A066	Shmueli symbol added by S.G.
60	Pbcn	Pbcn	60	Pbcn	Pbcn	-P 2n 2ab	POC$I1A000$P2C666$P2A660	
60	Pbcn	Pbcn	60:-cba	Pnab	Pnab	-P 2bc 2n	POC$I1A000$P2C066$P2A666	Shmueli symbol added by S.G.
60	Pbcn	Pbcn	60:a-cb	Pcnb	Pcnb	-P 2b 2ac	POC$I1A000$P2C060$P2A606	Shmueli symbol added by S.G.
60	Pbcn	Pbcn	60:ba-c	Pcan	Pcan	-P 2n 2c	POC$I1A000$P2C666$P2A006	Shmueli symbol added by S.G.
60	Pbcn	Pbcn	60:bca	Pbna	Pbna	-P 2ac 2b	POC$I1A000$P2C606$P2A060	Shmueli symbol added by S.G.
60	Pbcn	Pbcn	60:cab	Pnca	Pnca	-P 2a 2n	POC$I1A000$P2C600$P2A666	Shmueli symbol added by S.G.
61	Pbca	Pbca	61	Pbca	Pbca	-P 2ac 2ab	POC$I1A000$P2C606$P2A660	
61	Pbca	Pbca	61:ba-c	Pcab	Pcab	-P 2bc 2ac	POC$I1A000$P2C066$P2A606	Shmueli symbol added by S.G.
62	Pnma	Pnma	62	Pnma	Pnma	-P 2ac 2n	POC$I1A000$P2C606$P2A666	
62	Pnma	Pnma	62:-cba	Pcmn	Pcmn	-P 2n 2ac	POC$I1A000$P2C666$P2A606	Shmueli symbol added by S.G.
62	Pnma	Pnma	62:a-cb	Pnam	Pnam	-P 2c 2n	POC$I1A000$P2C006$P2A666	Shmueli symbol added by S.G.
62	Pnma	Pnma	62:ba-c	Pmnb	Pmnb	-P 2bc 2a	POC$I1A000$P2C066$P2A600	Shmueli symbol added by S.G.
62	Pnma	Pnma	62:bca	Pmcn	Pmcn	-P 2n 2a	POC$I1A000$P2C666$P2A600	Shmueli symbol added by S.G.
62	Pnma	Pnma	62:cab	Pbnm	Pbnm	-P 2c 2ab	POC$I1A000$P2C006$P2A660	Shmueli symbol added by S.G.
63	Cmcm	Cmcm	63	Cmcm	Cmcm	-C 2c 2	COC$I1A000$P2C006$P2A000	
63	Cmcm	Cmcm	63:-cba	Amam	Amam	-A 2 2a	AOC$I1A000$P2C000$P2A600	Shmueli symbol added by S.G.
63	Cmcm	Cmcm	63:a-cb	Bmmb	Bmmb	-B 2b 2	BOC$I1A000$P2C060$P2A000	Shmueli symbol added by S.G.
63	Cmcm	Cmcm	63:ba-c	Ccmm	Ccmm	-C 2c 2c	COC$I1A000$P2C006$P2A006	Shmueli symbol added by S.G.
63	Cmcm	Cmcm	63:bca	Bbmm	Bbmm	-B 2 2b	BOC$I1A000$P2C000$P2A060	Shmueli symbol added by S.G.
63	Cmcm	Cmcm	63:cab	Amma	Amma	-A 2a 2a	AOC$I1A000$P2C600$P2A600	Shmueli symbol added by S.G.
64	Cmca	Cmce	64	Cmca	Cmce	-C 2ac 2	COC$I1A000$P2C066$P2A000	
64	Cmca	Cmce	64:-cba	Acam	Aeam	-A 2 2ab	AOC$I1A000$P2C000$P2A660	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
64	Cmca	Cmce	64:a-cb	Bmab	Bmeb	-B 2ab 2	BOC$I1A000$P2C660$P2A000	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
64	Cmca	Cmce	64:ba-c	Ccmb	Ccme	-C 2ac 2ac	COC$I1A000$P2C606$P2A606	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
64	Cmca	Cmce	64:bca	Bbcm	Bbem	-B 2 2ab	BOC$I1A000$P2C000$P2A660	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
64	Cmca	Cmce	64:cab	Abma	Aema	-A 2ab 2ab	AOC$I1A000$P2C660$P2A660	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
65	Cmmm	Cmmm	65	Cmmm	Cmmm	-C 2 2	COC$I1A000$P2C000$P2A000	
65	Cmmm	Cmmm	65:bca	Bmmm	Bmmm	-B 2 2	BOC$I1A000$P2C000$P2A000	Shmueli symbol added by S.G.
65	Cmmm	Cmmm	65:cab	Ammm	Ammm	-A 2 2	AOC$I1A000$P2C000$P2A000	Shmueli symbol added by S.G.
66	Cccm	Cccm	66	Cccm	Cccm	-C 2 2c	COC$I1A000$P2C000$P2A006	
66	Cccm	Cccm	66:bca	Bbmb	Bbmb	-B 2b 2b	BOC$I1A000$P2C060$P2A060	Shmueli symbol added by S.G.
66	Cccm	Cccm	66:cab	Amaa	Amaa	-A 2a 2	AOC$I1A000$P2C600$P2A000	Shmueli symbol added by S.G.
67	Cmma	Cmme	67	Cmma	Cmme	-C 2a 2	COC$I1A000$P2C060$P2A000	
67	Cmma	Cmme	67:abc	Cmma	Cmme:abc	-C 2a 2	COC$I1A000$P2C060$P2A000	Adding the row with explicit default axis configuration (abc) to disambiguate Cmme:abc and Cmme:ba-c symbols
67	Cmma	Cmme	67:-cba	Acmm	Aemm:-cba	-A 2 2b	AOC$I1A000$P2C000$P2A060	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
67	Cmma	Cmme	67:a-cb	Bmam	Bmem:a-cb	-B 2a 2	BOC$I1A000$P2C600$P2A000	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
67	Cmma	Cmme	67:ba-c	Cmmb	Cmme:ba-c	-C 2a 2a	COC$I1A000$P2C060$P2A060	Shmueli symbol added by S.G. Overlaps with old Cmma (67:abc (standard))! New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
67	Cmma	Cmme	67:bca	Bmcm	Bmem:bca	-B 2 2a	BOC$I1A000$P2C000$P2A600	Shmueli symbol added by S.G. Overlaps with old Bmam (67:a-cb)! New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
67	Cmma	Cmme	67:cab	Abmm	Aemm:cab	-A 2b 2b	AOC$I1A000$P2C060$P2A060	Shmueli symbol added by S.G. Overlaps with old Acmm (67:-cba)! New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
68	Ccca	Ccce	68:1	Ccca:1	Ccce:1	C 2 2 -1ac	COC$I1A066$P2C660$P2A660	
68	Ccca	Ccce	68:1-cba	Acaa:1	Aeaa:1	A 2 2 -1ab	AOC$I1A660$P2C000$P2A000	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
68	Ccca	Ccce	68:1a-cb	Bbab:1	Bbeb:1	B 2 2 -1ab	BOC$I1A660$P2C000$P2A000	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
68	Ccca	Ccce	68:1ba-c	Cccb:1	Ccce:1	C 2 2 -1ac	COC$I1A606$P2C000$P2A000	Shmueli symbol added by S.G.; Hall symbol identical to 68:1abc (Ccca:1). New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2). Alternative to COC$I1A066$P2C660$P2A660, generates same symop matrices.
68	Ccca	Ccce	68:1bca	Bbcb:1	Bbeb:1	B 2 2 -1ab	BOC$I1A660$P2C000$P2A000	Shmueli symbol added by S.G.; Hall symbol identical to 68:1a-cb (Bbab:1). New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2).
68	Ccca	Ccce	68:1cab	Abaa:1	Aeaa:1	A 2 2 -1ab	AOC$I1A660$P2C000$P2A000	Shmueli symbol added by S.G.; Hall symbol identical to 68:1-cba (Acaa:1). New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2).
68	Ccca	Ccce	68:2	Ccca:2	Ccce:2	-C 2a 2ac	COC$I1A000$P2C600$P2A606	
68	Ccca	Ccce	68:2abc	Ccca:2	Ccce:2abc	-C 2a 2ac	COC$I1A000$P2C600$P2A606	Adding the row with explicit default axis configuration (abc) to disambiguate Ccce:abc and Ccce:ba-c symbols
68	Ccca	Ccce	68:2-cba	Acaa:2	Aeaa:2-cba	-A 2ab 2b	AOC$I1A000$P2C660$P2A060	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
68	Ccca	Ccce	68:2a-cb	Bbab:2	Bbeb:2a-cb	-B 2b 2ab	BOC$I1A000$P2C060$P2A660	Shmueli symbol added by S.G.; new H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
68	Ccca	Ccce	68:2ba-c	Cccb:2	Ccce:2ba-c	-C 2a 2c	COC$I1A000$P2C600$P2A006	Shmueli symbol added by S.G.; Overlaps with old Ccca:2 (68:2, i.e. 68:2abc (standard))! New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
68	Ccca	Ccce	68:2bca	Bbcb:2	Bbeb:2bca	-B 2ab 2b	BOC$I1A000$P2C660$P2A060	Shmueli symbol added by S.G.; Overlaps with old Bbab:2 (68:2a-cb)! New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
68	Ccca	Ccce	68:2cab	Abaa:2	Aeaa:2cab	-A 2a 2b	AOC$I1A000$P2C600$P2A060	Shmueli symbol added by S.G.; Overlaps with old Acaa:2 (68:2-cba)! New H-M symbol looked up in the ITC Vol. A (p. 65 onwards) using the axis designator (e.g. ba-c for Bme2)
69	Fmmm	Fmmm	69	Fmmm	Fmmm	-F 2 2	FOC$I1A000$P2C000$P2A000	
70	Fddd	Fddd	70:1	Fddd:1	Fddd:1	F 2 2 -1d	FOC$I1A333$P2C000$P2A000	
70	Fddd	Fddd	70:2	Fddd:2	Fddd:2	-F 2uv 2vw	FOC$I1A000$P2C990$P2A099	
71	Immm	Immm	71	Immm	Immm	-I 2 2	IOC$I1A000$P2C000$P2A000	
72	Ibam	Ibam	72	Ibam	Ibam	-I 2 2c	IOC$I1A000$P2C000$P2A660	
72	Ibam	Ibam	72:bca	Icma	Icma	-I 2b 2b	IOC$I1A000$P2C060$P2A060	Shmueli symbol added by S.G.
72	Ibam	Ibam	72:cab	Imcb	Imcb	-I 2a 2	IOC$I1A000$P2C600$P2A000	Shmueli symbol added by S.G.
73	Ibca	Ibca	73	Ibca	Ibca	-I 2b 2c	IOC$I1A000$P2C606$P2A660	
73	Ibca	Ibca	73:ba-c	Icab	Icab	-I 2a 2b	IOC$I1A000$P2C600$P2A060	Shmueli symbol added by S.G.
74	Imma	Imma	74	Imma	Imma	-I 2b 2	IOC$I1A000$P2C060$P2A000	
74	Imma	Imma	74:-cba	Icmm	Icmm	-I 2 2b	IOC$I1A000$P2C000$P2A060	Shmueli symbol added by S.G.
74	Imma	Imma	74:a-cb	Imam	Imam	-I 2c 2	IOC$I1A000$P2C006$P2A000	Shmueli symbol added by S.G.
74	Imma	Imma	74:ba-c	Immb	Immb	-I 2a 2a	IOC$I1A000$P2C600$P2A600	Shmueli symbol added by S.G.
74	Imma	Imma	74:bca	Imcm	Imcm	-I 2 2a	IOC$I1A000$P2C000$P2A600	Shmueli symbol added by S.G.
74	Imma	Imma	74:cab	Ibmm	Ibmm	-I 2c 2c	IOC$I1A000$P2C006$P2A006	Shmueli symbol added by S.G.
75	P4	P4	75	P4	P4	P 4	PTN$P4C000	
76	P41	P41	76	P41	P41	P 4w	PTN$P4C003	
77	P42	P42	77	P42	P42	P 4c	PTN$P4C006	
78	P43	P43	78	P43	P43	P 4cw	PTN$P4C009	
79	I4	I4	79	I4	I4	I 4	ITN$P4C000	
80	I41	I41	80	I41	I41	I 4bw	ITN$P4C063	
81	P-4	P-4	81	P-4	P-4	P -4	PTN$I4C000	
82	I-4	I-4	82	I-4	I-4	I -4	ITN$I4C000	
83	P4/m	P4/m	83	P4/m	P4/m	-P 4	PTC$I1A000$P4C000	
84	P42/m	P42/m	84	P42/m	P42/m	-P 4c	PTC$I1A000$P4C006	
85	P4/n	P4/n	85:1	P4/n:1	P4/n:1	P 4ab -1ab	PTC$I1A660$P4C660	
85	P4/n	P4/n	85:2	P4/n:2	P4/n:2	-P 4a	PTC$I1A000$P4C600	
86	P42/n	P42/n	86:1	P42/n:1	P42/n:1	P 4n -1n	PTC$I1A666$P4C666	
86	P42/n	P42/n	86:2	P42/n:2	P42/n:2	-P 4bc	PTC$I1A000$P4C066	
87	I4/m	I4/m	87	I4/m	I4/m	-I 4	ITC$I1A000$P4C000	
88	I41/a	I41/a	88:1	I41/a:1	I41/a:1	I 4bw -1bw	ITC$I1A063$P4C063	
88	I41/a	I41/a	88:2	I41/a:2	I41/a:2	-I 4ad	ITC$I1A000$P4C933	
89	P422	P422	89	P422	P422	P 4 2	PTN$P4C000$P2A000	
90	P4212	P4212	90	P4212	P4212	P 4ab 2ab	PTN$P4C660$P2A660	
91	P4122	P4122	91	P4122	P4122	P 4w 2c	PTN$P4C003$P2A006	
92	P41212	P41212	92	P41212	P41212	P 4abw 2nw	PTN$P4C663$P2A669	
93	P4222	P4222	93	P4222	P4222	P 4c 2	PTN$P4C006$P2A000	
94	P42212	P42212	94	P42212	P42212	P 4n 2n	PTN$P4C666$P2A666	
95	P4322	P4322	95	P4322	P4322	P 4cw 2c	PTN$P4C009$P2A006	
96	P43212	P43212	96	P43212	P43212	P 4nw 2abw	PTN$P4C669$P2A663	
97	I422	I422	97	I422	I422	I 4 2	ITN$P4C000$P2A000	
98	I4122	I4122	98	I4122	I4122	I 4bw 2bw	ITN$P4C063$P2A063	
99	P4mm	P4mm	99	P4mm	P4mm	P 4 -2	PTN$P4C000$I2A000	
100	P4bm	P4bm	100	P4bm	P4bm	P 4 -2ab	PTN$P4C000$I2A660	
101	P42cm	P42cm	101	P42cm	P42cm	P 4c -2c	PTN$P4C006$I2A006	
102	P42nm	P42nm	102	P42nm	P42nm	P 4n -2n	PTN$P4C666$I2A666	
103	P4cc	P4cc	103	P4cc	P4cc	P 4 -2c	PTN$P4C000$I2A006	
104	P4nc	P4nc	104	P4nc	P4nc	P 4 -2n	PTN$P4C000$I2A666	
105	P42mc	P42mc	105	P42mc	P42mc	P 4c -2	PTN$P4C006$I2A000	
106	P42bc	P42bc	106	P42bc	P42bc	P 4c -2ab	PTN$P4C006$I2A660	
107	I4mm	I4mm	107	I4mm	I4mm	I 4 -2	ITN$P4C000$I2A000	
108	I4cm	I4cm	108	I4cm	I4cm	I 4 -2c	ITN$P4C000$I2A006	
109	I41md	I41md	109	I41md	I41md	I 4bw -2	ITN$P4C063$I2A666	
110	I41cd	I41cd	110	I41cd	I41cd	I 4bw -2c	ITN$P4C063$I2A660	
111	P-42m	P-42m	111	P-42m	P-42m	P -4 2	PTN$I4C000$P2A000	
112	P-42c	P-42c	112	P-42c	P-42c	P -4 2c	PTN$I4C000$P2A006	
113	P-421m	P-421m	113	P-421m	P-421m	P -4 2ab	PTN$I4C000$P2A660	
114	P-421c	P-421c	114	P-421c	P-421c	P -4 2n	PTN$I4C000$P2A666	
115	P-4m2	P-4m2	115	P-4m2	P-4m2	P -4 -2	PTN$I4C000$P2D000	
116	P-4c2	P-4c2	116	P-4c2	P-4c2	P -4 -2c	PTN$I4C000$P2D006	
117	P-4b2	P-4b2	117	P-4b2	P-4b2	P -4 -2ab	PTN$I4C000$P2D660	
118	P-4n2	P-4n2	118	P-4n2	P-4n2	P -4 -2n	PTN$I4C000$P2D666	
119	I-4m2	I-4m2	119	I-4m2	I-4m2	I -4 -2	ITN$I4C000$P2D000	
120	I-4c2	I-4c2	120	I-4c2	I-4c2	I -4 -2c	ITN$I4C000$P2D006	
121	I-42m	I-42m	121	I-42m	I-42m	I -4 2	ITN$I4C000$P2A000	
122	I-42d	I-42d	122	I-42d	I-42d	I -4 2bw	ITN$I4C000$P2A609	
123	P4/mmm	P4/mmm	123	P4/mmm	P4/mmm	-P 4 2	PTC$I1A000$P4C000$P2A000	
124	P4/mcc	P4/mcc	124	P4/mcc	P4/mcc	-P 4 2c	PTC$I1A000$P4C000$P2A006	
125	P4/nbm	P4/nbm	125:1	P4/nbm:1	P4/nbm:1	P 4 2 -1ab	PTC$I1A660$P4C000$P2A000	
125	P4/nbm	P4/nbm	125:2	P4/nbm:2	P4/nbm:2	-P 4a 2b	PTC$I1A000$P4C600$P2A060	
126	P4/nnc	P4/nnc	126:1	P4/nnc:1	P4/nnc:1	P 4 2 -1n	PTC$I1A666$P4C000$P2A000	
126	P4/nnc	P4/nnc	126:2	P4/nnc:2	P4/nnc:2	-P 4a 2bc	PTC$I1A000$P4C600$P2A066	
127	P4/mbm	P4/mbm	127	P4/mbm	P4/mbm	-P 4 2ab	PTC$I1A000$P4C000$P2A660	
128	P4/mnc	P4/mnc	128	P4/mnc	P4/mnc	-P 4 2n	PTC$I1A000$P4C000$P2A666	
129	P4/nmm	P4/nmm	129:1	P4/nmm:1	P4/nmm:1	P 4ab 2ab -1ab	PTC$I1A660$P4C660$P2A660	
129	P4/nmm	P4/nmm	129:2	P4/nmm:2	P4/nmm:2	-P 4a 2a	PTC$I1A000$P4C600$P2A600	
130	P4/ncc	P4/ncc	130:1	P4/ncc:1	P4/ncc:1	P 4ab 2n -1ab	PTC$I1A660$P4C660$P2A666	
130	P4/ncc	P4/ncc	130:2	P4/ncc:2	P4/ncc:2	-P 4a 2ac	PTC$I1A000$P4C600$P2A606	
131	P42/mmc	P42/mmc	131	P42/mmc	P42/mmc	-P 4c 2	PTC$I1A000$P4C006$P2A000	
132	P42/mcm	P42/mcm	132	P42/mcm	P42/mcm	-P 4c 2c	PTC$I1A000$P4C006$P2A006	
133	P42/nbc	P42/nbc	133:1	P42/nbc:1	P42/nbc:1	P 4n 2c -1n	PTC$I1A666$P4C666$P2A006	
133	P42/nbc	P42/nbc	133:2	P42/nbc:2	P42/nbc:2	-P 4ac 2b	PTC$I1A000$P4C606$P2A060	
134	P42/nnm	P42/nnm	134:1	P42/nnm:1	P42/nnm:1	P 4n 2 -1n	PTC$I1A666$P4C666$P2A000	
134	P42/nnm	P42/nnm	134:2	P42/nnm:2	P42/nnm:2	-P 4ac 2bc	PTC$I1A000$P4C606$P2A066	
135	P42/mbc	P42/mbc	135	P42/mbc	P42/mbc	-P 4c 2ab	PTC$I1A000$P4C006$P2A660	
136	P42/mnm	P42/mnm	136	P42/mnm	P42/mnm	-P 4n 2n	PTC$I1A000$P4C666$P2A666	
137	P42/nmc	P42/nmc	137:1	P42/nmc:1	P42/nmc:1	P 4n 2n -1n	PTC$I1A666$P4C666$P2A666	
137	P42/nmc	P42/nmc	137:2	P42/nmc:2	P42/nmc:2	-P 4ac 2a	PTC$I1A000$P4C606$P2A600	
138	P42/ncm	P42/ncm	138:1	P42/ncm:1	P42/ncm:1	P 4n 2ab -1n	PTC$I1A666$P4C666$P2A660	
138	P42/ncm	P42/ncm	138:2	P42/ncm:2	P42/ncm:2	-P 4ac 2ac	PTC$I1A000$P4C606$P2A606	
139	I4/mmm	I4/mmm	139	I4/mmm	I4/mmm	-I 4 2	ITC$I1A000$P4C000$P2A000	
